ID,Player,Top 7 Leagues,Goals per 90,xG per 90,Shots on target per 90,Shots on target %,Passes completed,Pass accuracy %,Possession %,Positional attacks per 90,Counter attacks per 90,Touches in the box per 90,Goals conceded per 90,SoT against per 90,Defensive duels per 90,Defensive duel %,Aerial duels per 90,Aerial duels %,Passes per possession,PPDA
27,Cagliari,Serie A,1.15,1.45,3.66,32.05,278.05,80.07,43.03,25.95,1.98,16.41,1.8,4.44,68.1,61,39.2,43.56,3.38,14.06
28,Casa Pia AC,Primeira Liga,1.18,0.97,3.55,35.53,295.66,82.04,44.93,22.97,1.95,13.11,1.37,4.74,68.39,58.18,29.63,42.01,3.48,12.87
29,Celta de Vigo,La Liga,1.4,1.41,4,34.61,337.49,82.08,46.21,27.58,1.91,18.33,1.47,4.4,74.09,61.02,37.79,44.8,3.84,12.35
30,Chaves,Primeira Liga,0.89,1.14,3.17,30.98,271.08,80.47,45.72,23.56,1.19,12.03,2.03,5.78,64.28,60.93,38.64,44.57,3.11,11.42
31,Chelsea,Premier League,2.02,1.97,5.76,41.18,498.45,88.39,57.3,29.98,2.45,23.94,1.45,4.57,66.8,58.73,26.65,48.71,5.67,10.55
32,Clermont,Ligue 1,0.78,1.23,3.58,33.68,385.28,84.33,50.14,24.75,1.64,14.14,1.78,6.31,66.31,59.07,30.97,45.65,4.37,12.4
33,Crystal Palace,Premier League,1.45,1.39,4.26,39.6,319.93,82.53,42.64,25.5,2.05,16.69,1.52,4.17,74.79,63.2,36.19,46.78,3.86,13.14
34,Darmstadt 98,Bundesliga,0.88,1.12,3.35,29.08,336.47,82.93,46.77,24.76,1.44,14.41,2.56,6.38,66.68,61.71,40.68,45.19,4,12.87
35,Deportivo Alavés,La Liga,1.14,1.41,3.98,33.74,245.26,77.67,42.19,26.33,1.83,18.24,1.14,3.98,74.38,61.65,37.38,43.69,3.05,12.18
36,Eintracht Frankfurt,Bundesliga,1.64,1.53,4.51,39.85,434.51,84.52,53.17,28.02,2.09,22.28,1.36,4.04,62.7,61.45,35.72,47.35,5,11.68
37,Empoli,Serie A,0.77,1.09,3.05,30.59,284.77,81.41,44.09,23.87,1.44,15.28,1.44,5.13,72.72,58.22,39.23,41.44,3.4,11.58
38,Estoril,Primeira Liga,1.62,1.28,4.1,37.07,312.62,82.58,48.39,23.55,1.74,15.26,1.6,4.95,69.43,58.57,31.07,43.6,3.73,11.5
39,Estrela Amadora,Primeira Liga,0.97,1.2,3.14,31.3,296.11,79.76,45.99,25.03,1.92,15.92,1.61,4.61,68.58,59.3,39.31,46.57,3.37,11.6
40,Everton,Premier League,1.11,1.66,3.89,31.19,280.38,79.05,41.8,29.38,1.82,17.22,1.24,4.53,76.82,62.63,42.11,48.34,3.31,12.26
41,Excelsior,Eredivisie,1.64,1.5,4.36,40.77,330.26,81.76,49.05,25.69,2.1,16.15,2.05,6.03,68.97,61.6,38.77,44.78,3.89,14.25
42,Famalicão,Primeira Liga,1.08,1.24,3.58,29.45,296.81,82.65,48.94,25.5,1.22,14.5,1.28,4.83,68.56,60.82,37.72,48.16,3.3,10.82
