Player,Position,Team within selected timeframe,Minutes played
J. Hofmann,Full-back,Bayer Leverkusen,975
Arthur,Full-back,Bayer Leverkusen,1027
Álex Grimaldo,Full-back,Bayer Leverkusen,1602
T. Bischof,Full-back,Bayern München,911
J. Stanišić,Full-back,Bayern München,1170
K. Laimer,Full-back,Bayern München,1410
A. Dedić,Full-back,Benfica,1434
S. Lopes Cabral,Full-back,Benfica,1680
S. Dahl,Full-back,Benfica,1961
Juan Miranda,Full-back,Bologna,1805
N. Zortea,Full-back,Bologna,1386
J. Ryerson,Full-back,Borussia Dortmund,1456
D. Svensson,Full-back,Borussia Dortmund,1885
Yan Couto,Full-back,Borussia Dortmund,921
J. Castrop,Full-back,Borussia Mgladbach,1006
L. Netz,Full-back,Borussia Mgladbach,1034
L. Ullrich,Full-back,Borussia Mgladbach,1086
J. Scally,Full-back,Borussia Mgladbach,1703
Álex Jiménez,Full-back,Bournemouth,1742
A. Smith,Full-back,Bournemouth,821
A. Truffert,Full-back,Bournemouth,2567
M. Kayode,Full-back,Brentford,2511
R. Henry,Full-back,Brentford,1274
K. Lala,Full-back,Brest,1967
B. Locko,Full-back,Brest,1120
D. Guindo,Full-back,Brest,1017
M. Wieffer,Full-back,Brighton,1317
J. Veltman,Full-back,Brighton,908
M. De Cuyper,Full-back,Brighton,1256
F. Kadıoğlu,Full-back,Brighton,2280
K. Walker,Full-back,Burnley,2482
Lucas Pires,Full-back,Burnley,953
Q. Hartman,Full-back,Burnley,1479
R. Idrissi,Full-back,Cagliari,741
M. Palestra,Full-back,Cagliari,2114
A. Obert,Full-back,Cagliari,1758
Abdu Conté,Full-back,Casa Pia AC,954
Gaizka Larrazabal,Full-back,Casa Pia AC,2038
Javi Rueda,Full-back,Celta de Vigo,878
Sergio Carreira,Full-back,Celta de Vigo,1706
Óscar Mingueza,Full-back,Celta de Vigo,1373
Marc Cucurella,Full-back,Chelsea,2115
M. Gusto,Full-back,Chelsea,1671
R. James,Full-back,Chelsea,1725
I. Smolčić,Full-back,Como,1074
Álex Valle,Full-back,Como,1530
T. Barbieri,Full-back,Cremonese,1316
A. Zerbin,Full-back,Cremonese,1100
R. Floriani Mussolini,Full-back,Cremonese,883
G. Pezzella,Full-back,Cremonese,1620
D. Muñoz,Full-back,Crystal Palace,1745
T. Mitchell,Full-back,Crystal Palace,2546
J. Devenny,Full-back,Crystal Palace,704
Jonny Otto,Full-back,Deportivo Alavés,2189
Yusi,Full-back,Deportivo Alavés,1029
Víctor Parada,Full-back,Deportivo Alavés,1193
N. Brown,Full-back,Eintracht Frankfurt,1705
N. Collins,Full-back,Eintracht Frankfurt,1177
R. Kristensen,Full-back,Eintracht Frankfurt,1520
Adrià Pedrosa,Full-back,Elche,834
Álvaro Núñez,Full-back,Elche,1794
Germán Valera,Full-back,Elche,1938
Carlos Romero,Full-back,Espanyol,2037
O. El Hilali,Full-back,Espanyol,1721
Ricard Sánchez,Full-back,Estoril,1049
Pedro Carvalho,Full-back,Estoril,916
Pedro Amaral,Full-back,Estoril,1431
Otávio,Full-back,Estrela Amadora,859
J. Encada,Full-back,Estrela Amadora,1152
J. O'Brien,Full-back,Everton,2400
V. Mykolenko,Full-back,Everton,2156
I. Bronkhorst,Full-back,Excelsior,1871
A. Zagré,Full-back,Excelsior,1630
Rafa Soares,Full-back,Famalicão,752
Rodrigo Pinheiro,Full-back,Famalicão,1835
Pedro Bondo,Full-back,Famalicão,1198
M. Deijl,Full-back,Feyenoord,2203
G. Read,Full-back,Feyenoord,841
J. Bos,Full-back,Feyenoord,1369
G. Smal,Full-back,Feyenoord,780
F. Parisi,Full-back,Fiorentina,1125
Dodô,Full-back,Fiorentina,2365
R. Gosens,Full-back,Fiorentina,1228
J. Dahlhaus,Full-back,Fortuna Sittard,1384
J. Hubner,Full-back,Fortuna Sittard,964
Ivo Pinto,Full-back,Fortuna Sittard,1711
L. Kübler,Full-back,Freiburg,1338
P. Treu,Full-back,Freiburg,1478
C. Günter,Full-back,Freiburg,1001
J. Makengo,Full-back,Freiburg,940
A. Robinson,Full-back,Fulham,890
T. Castagne,Full-back,Fulham,1284
K. Tete,Full-back,Fulham,1591
R. Sessegnon,Full-back,Fulham,1588
B. Norton-Cuffy,Full-back,Genoa,2103
Aarón Martín,Full-back,Genoa,1808
Kiko Femenía,Full-back,Getafe,1492
Diego Rico,Full-back,Getafe,1703
Juan Iglesias,Full-back,Getafe,2145
G. Konan,Full-back,Gil Vicente,1781
Zé Carlos,Full-back,Gil Vicente,1739
Álex Moreno,Full-back,Girona,2004
Arnau Martínez,Full-back,Girona,1572
Hugo Rincón,Full-back,Girona,1243
D. James,Full-back,Go Ahead Eagles,1418
A. Adelgaard,Full-back,Go Ahead Eagles,753
M. Peersman,Full-back,Groningen,1947
M. Rente,Full-back,Groningen,1577
G. Gocholeishvili,Full-back,Hamburger SV,864
M. Muheim,Full-back,Hamburger SV,2030
V. Zagaritis,Full-back,Heerenveen,2163
O. Braude,Full-back,Heerenveen,2107
J. Föhrenbach,Full-back,Heidenheim,1793
O. Traorè,Full-back,Heidenheim,1330
R. Belghali,Full-back,Hellas Verona,1220
D. Bradarić,Full-back,Hellas Verona,1640
D. van der Kust,Full-back,Heracles,901
I. Mesík,Full-back,Heracles,2114
M. Benita,Full-back,Heracles,990
M. te Wierik,Full-back,Heracles,1142
Bernardo,Full-back,Hoffenheim,1736
V. Coufal,Full-back,Hoffenheim,2164
D. Dumfries,Full-back,Internazionale,761
Carlos Augusto,Full-back,Internazionale,1053
Luis Henrique,Full-back,Internazionale,1188
F. Dimarco,Full-back,Internazionale,1836
W. McKennie,Full-back,Juventus,1905
A. Cambiaso,Full-back,Juventus,1877
E. Holm,Full-back,Juventus,762
K. Lund,Full-back,Köln,1487
J. Thielmann,Full-back,Köln,1377
L. Pellegrini,Full-back,Lazio,1148
A. Marušić,Full-back,Lazio,2008
L. Nego,Full-back,Le Havre,1828
Y. Zouaoui,Full-back,Le Havre,1687
Danilo Veiga,Full-back,Lecce,1980
A. Gallo,Full-back,Lecce,2119
J. Bogle,Full-back,Leeds United,2205
G. Gudmundsson,Full-back,Leeds United,2314
R. Aguilar,Full-back,Lens,1604
M. Udol,Full-back,Lens,2157
J. Toljan,Full-back,Levante,2061
Manu Sánchez,Full-back,Levante,1793
T. Meunier,Full-back,Lille,1267
R. Perraud,Full-back,Lille,1592
M. Kerkez,Full-back,Liverpool,1921
C. Bradley,Full-back,Liverpool,1029
D. Szoboszlai,Full-back,Liverpool,2423
A. Robertson,Full-back,Liverpool,735
A. Kouassi,Full-back,Lorient,1854
T. Le Bris,Full-back,Lorient,1477
S. Widmer,Full-back,Mainz 05,1267
P. Mwene,Full-back,Mainz 05,1227
J. Mojica,Full-back,Mallorca,1962
Pablo Maffeo,Full-back,Mallorca,1660
Mateu Morey,Full-back,Mallorca,701
N. O'Reilly,Full-back,Manchester City,2093
Matheus Nunes,Full-back,Manchester City,2120
A. Diallo,Full-back,Manchester United,1835
P. Dorgu,Full-back,Manchester United,1484
Diogo Dalot,Full-back,Manchester United,2034
M. Colin,Full-back,Metz,1238
F. Ballo-Touré,Full-back,Metz,752
K. Kouao,Full-back,Metz,1772
A. Saelemaekers,Full-back,Milan,1947
D. Bartesaghi,Full-back,Milan,1602
P. Estupiñán,Full-back,Milan,739
K. Diatta,Full-back,Monaco,922
Caio Henrique,Full-back,Monaco,1505
K. Ouattara,Full-back,Monaco,1069
Dinis Pinto,Full-back,Moreirense,1902
Kiko,Full-back,Moreirense,1245
B. Lucassen,Full-back,NAC Breda,991
C. Valerius,Full-back,NAC Breda,1530
B. Kemper,Full-back,NAC Breda,2085
S. Ouaissa,Full-back,NEC,1808
B. Önal,Full-back,NEC,1440
José Gomes,Full-back,Nacional,1788
João Aurélio,Full-back,Nacional,1406
L. Leroux,Full-back,Nantes,1120
N. Cozza,Full-back,Nantes,1442
K. Amian,Full-back,Nantes,2074
Miguel Gutiérrez,Full-back,Napoli,747
M. Olivera,Full-back,Napoli,745
L. Spinazzola,Full-back,Napoli,1399
G. Di Lorenzo,Full-back,Napoli,2199
K. Trippier,Full-back,Newcastle United,1275
T. Livramento,Full-back,Newcastle United,1192
D. Burn,Full-back,Newcastle United,1635
L. Hall,Full-back,Newcastle United,1487
J. Clauss,Full-back,Nice,1685
M. Bard,Full-back,Nice,1677
A. Abdi,Full-back,Nice,811
N. Savona,Full-back,Nottingham Forest,1146
N. Williams,Full-back,Nottingham Forest,2419
O. Aina,Full-back,Nottingham Forest,963
N. Tagliafico,Full-back,Olympique Lyonnais,1108
Abner,Full-back,Olympique Lyonnais,1266
A. Maitland-Niles,Full-back,Olympique Lyonnais,1851
T. Weah,Full-back,Olympique Marseille,1532
Emerson Palmieri,Full-back,Olympique Marseille,1512
A. Murillo,Full-back,Olympique Marseille,1096
Javi Galán,Full-back,Osasuna,732
V. Rosier,Full-back,Osasuna,1318
Abel Bretones,Full-back,Osasuna,1512
S. Floranus,Full-back,PEC Zwolle,2154
O. Aertssen,Full-back,PEC Zwolle,1361
T. Gooijer,Full-back,PEC Zwolle,1052
L. Hernández,Full-back,PSG,1079
A. Hakimi,Full-back,PSG,907
Nuno Mendes,Full-back,PSG,1117
W. Zaire-Emery,Full-back,PSG,1919
A. Salah-Eddine,Full-back,PSV,918
S. Dest,Full-back,PSV,1918
Mauro Júnior,Full-back,PSV,1631
T. De Smet,Full-back,Paris,1039
H. Traoré,Full-back,Paris,933
N. Sangui,Full-back,Paris,927
S. Chergui,Full-back,Paris,1080
E. Valeri,Full-back,Parma,1735
S. Britschgi,Full-back,Parma,1720
S. Angori,Full-back,Pisa,1633
I. Touré,Full-back,Pisa,2078
M. Léris,Full-back,Pisa,1173
Martim Fernandes,Full-back,Porto,843
Francisco Moura,Full-back,Porto,1184
Alberto Costa,Full-back,Porto,1476
R. Baku,Full-back,RB Leipzig,1700
D. Raum,Full-back,RB Leipzig,2031
A. Rațiu,Full-back,Rayo Vallecano,1826
Pep Chavarría,Full-back,Rayo Vallecano,2111
R. Rodríguez,Full-back,Real Betis,1070
Aitor Ruibal,Full-back,Real Betis,1245
Héctor Bellerín,Full-back,Real Betis,1202
V. Gómez,Full-back,Real Betis,1264
Álvaro Carreras,Full-back,Real Madrid,1852
F. Valverde,Full-back,Real Madrid,2003
R. Alhassane,Full-back,Real Oviedo,1558
Lucas Ahijado,Full-back,Real Oviedo,972
Javi López,Full-back,Real Oviedo,728
Nacho Vidal,Full-back,Real Oviedo,1250
Sergio Gómez,Full-back,Real Sociedad,1773
Aihen Muñoz,Full-back,Real Sociedad,774
Jon Aramburu,Full-back,Real Sociedad,1994
Mousa Al Tamari,Full-back,Rennes,1382
Q. Merlin,Full-back,Rennes,1508
P. Frankowski,Full-back,Rennes,1189
N. Athanasiou,Full-back,Rio Ave,1420
M. Vrousai,Full-back,Rio Ave,1620
Wesley,Full-back,Roma,1999
Z. Çelik,Full-back,Roma,1893
Lucas Soares,Full-back,Santa Clara,1695
Paulo Victor,Full-back,Santa Clara,1189
S. Walukiewicz,Full-back,Sassuolo,2121
J. Doig,Full-back,Sassuolo,1813
Juanlu Sánchez,Full-back,Sevilla,1459
G. Suazo,Full-back,Sevilla,1504
José Ángel Carmona,Full-back,Sevilla,2014
T. Quintero,Full-back,Sparta Rotterdam,1616
P. van Aanholt,Full-back,Sparta Rotterdam,720
S. Sambo,Full-back,Sparta Rotterdam,1257
Gabri Martínez,Full-back,Sporting Braga,1049
Leonardo Lelo,Full-back,Sporting Braga,1498
Víctor Gómez,Full-back,Sporting Braga,1741
Ricardo Mangas,Full-back,Sporting CP,718
G. Vagiannidis,Full-back,Sporting CP,865
Iván Fresneda,Full-back,Sporting CP,1264
M. Araújo,Full-back,Sporting CP,1368
A. Pyrka,Full-back,St. Pauli,1625
L. Oppie,Full-back,St. Pauli,1556
M. Saliakas,Full-back,St. Pauli,853
G. Ouattara,Full-back,Strasbourg,1243
B. Chilwell,Full-back,Strasbourg,1405
G. Doué,Full-back,Strasbourg,1459
Diego Moreira,Full-back,Strasbourg,1769
M. Mittelstädt,Full-back,Stuttgart,1555
J. Vagnoman,Full-back,Stuttgart,1531
Reinildo,Full-back,Sunderland,1596
N. Mukiele,Full-back,Sunderland,2395
T. Hume,Full-back,Sunderland,2354
T. Noslin,Full-back,Telstar,1773
J. Hardeveld,Full-back,Telstar,2057
Bebeto,Full-back,Tondela,1350
E. Maviram,Full-back,Tondela,1525
Tiago Manso,Full-back,Tondela,1153
M. Pedersen,Full-back,Torino,1582
V. Lazaro,Full-back,Torino,1903
Pedro Porro,Full-back,Tottenham Hotspur,2025
D. Spence,Full-back,Tottenham Hotspur,1790
D. Udogie,Full-back,Tottenham Hotspur,895
D. Methalie,Full-back,Toulouse,1259
A. Dønnum,Full-back,Toulouse,1747
M. Rots,Full-back,Twente,2111
B. van Rooij,Full-back,Twente,2093
K. Ehizibue,Full-back,Udinese,885
J. Zemura,Full-back,Udinese,924
A. Zanoli,Full-back,Udinese,1355
H. Kamara,Full-back,Udinese,1140
D. Köhn,Full-back,Union Berlin,1395
C. Trimmel,Full-back,Union Berlin,1390
J. Haberer,Full-back,Union Berlin,1226
S. El Karouani,Full-back,Utrecht,1950
S. Horemans,Full-back,Utrecht,1708
José Gayá,Full-back,Valencia,1665
Thierry Correia,Full-back,Valencia,1023
Jesús Vázquez,Full-back,Valencia,755
D. Foulquier,Full-back,Valencia,1282
S. Mouriño,Full-back,Villarreal,1359
Alfonso Pedraza,Full-back,Villarreal,1064
Pau Navarro,Full-back,Villarreal,895
Sergi Cardona,Full-back,Villarreal,1246
João Mendes,Full-back,Vitória Guimarães,1740
Maga,Full-back,Vitória Guimarães,1465
P. Ugwu,Full-back,Volendam,1267
Y. Leliendal,Full-back,Volendam,2006
D. Payne,Full-back,Volendam,996
Y. Sugawara,Full-back,Werder Bremen,1916
M. Friedl,Full-back,Werder Bremen,1925
O. Scarles,Full-back,West Ham United,745
A. Wan-Bissaka,Full-back,West Ham United,1638
E. Diouf,Full-back,West Ham United,1812
K. Walker-Peters,Full-back,West Ham United,1095
A. Zehnter,Full-back,Wolfsburg,1350
S. Kumbedi,Full-back,Wolfsburg,1185
K. Fischer,Full-back,Wolfsburg,890
J. Tchatchoua,Full-back,Wolverhampton,1450
Hugo Bueno,Full-back,Wolverhampton,1762
D. Möller Wolfe,Full-back,Wolverhampton,840
P. Lima,Midfielder,AVS ,1329
G. Assunção,Midfielder,AVS ,758
Á. Algobia,Midfielder,AVS ,857
R. Barbosa,Midfielder,AVS ,704
J. Grau,Midfielder,AVS ,1451
K. Smit,Midfielder,AZ,1680
S. Mijnans,Midfielder,AZ,1569
P. Koopmeiners,Midfielder,AZ,1621
Y. Regeer,Midfielder,Ajax,1359
K. Taylor,Midfielder,Ajax,1391
D. Klaassen,Midfielder,Ajax,1412
O. Gloukh,Midfielder,Ajax,1290
S. Abdulai,Midfielder,Alverca,1230
Amorim,Midfielder,Alverca,1766
L. Mouton,Midfielder,Angers SCO,1566
H. Belkebla,Midfielder,Angers SCO,2010
David Simão,Midfielder,Arouca,729
T. Fukui,Midfielder,Arouca,1619
E. van Ee,Midfielder,Arouca,1031
Lee Hyun-Ju,Midfielder,Arouca,1396
Pedro Santos,Midfielder,Arouca,751
E. Eze,Midfielder,Arsenal,1255
M. Ødegaard,Midfielder,Arsenal,1162
Martín Zubimendi,Midfielder,Arsenal,2405
D. Rice,Midfielder,Arsenal,2375
Y. Tielemans,Midfielder,Aston Villa,1415
M. Rogers,Midfielder,Aston Villa,2570
B. Kamara,Midfielder,Aston Villa,1540
L. Bogarde,Midfielder,Aston Villa,793
A. Onana,Midfielder,Aston Villa,1258
K. Sulemana,Midfielder,Atalanta,736
L. Samardžić,Midfielder,Atalanta,725
M. Pašalić,Midfielder,Atalanta,1323
M. de Roon,Midfielder,Atalanta,1724
C. De Ketelaere,Midfielder,Atalanta,1632
Éderson,Midfielder,Atalanta,1595
Mikel Jauregizar,Midfielder,Athletic Club,2187
Iñigo Ruiz de Galarreta,Midfielder,Athletic Club,1489
Oihan Sancet,Midfielder,Athletic Club,1209
Koke,Midfielder,Atlético Madrid,1555
Rodrigo Mendoza,Midfielder,Atlético Madrid,935
Pablo Barrios,Midfielder,Atlético Madrid,1730
C. Gallagher,Midfielder,Atlético Madrid,782
E. Rexhbecaj,Midfielder,Augsburg,1062
A. Claude-Maurice,Midfielder,Augsburg,1375
K. Jakić,Midfielder,Augsburg,1247
F. Rieder,Midfielder,Augsburg,1438
H. Massengo,Midfielder,Augsburg,1865
K. Danois,Midfielder,Auxerre,1795
O. El Azzouzi,Midfielder,Auxerre,845
E. Owusu,Midfielder,Auxerre,1263
Marc Casadó,Midfielder,Barcelona,815
F. de Jong,Midfielder,Barcelona,1468
Pedri,Midfielder,Barcelona,1348
Dani Olmo,Midfielder,Barcelona,1237
Fermín López,Midfielder,Barcelona,1090
M. Tillman,Midfielder,Bayer Leverkusen,1354
I. Maza,Midfielder,Bayer Leverkusen,876
Aleix García,Midfielder,Bayer Leverkusen,1930
E. Poku,Midfielder,Bayer Leverkusen,1213
J. Kimmich,Midfielder,Bayern München,1544
L. Goretzka,Midfielder,Bayern München,1321
A. Pavlović,Midfielder,Bayern München,1248
L. Karl,Midfielder,Bayern München,1001
S. Gnabry,Midfielder,Bayern München,1099
H. Sudakov,Midfielder,Benfica,1376
Leandro Barreiro,Midfielder,Benfica,1073
R. Ríos,Midfielder,Benfica,1495
E. Barrenechea,Midfielder,Benfica,1480
S. Sohm,Midfielder,Bologna,905
J. Odgaard,Midfielder,Bologna,1127
T. Pobega,Midfielder,Bologna,1169
N. Moro,Midfielder,Bologna,1181
L. Ferguson,Midfielder,Bologna,1253
R. Freuler,Midfielder,Bologna,1420
M. Sabitzer,Midfielder,Borussia Dortmund,1036
J. Brandt,Midfielder,Borussia Dortmund,1179
M. Beier,Midfielder,Borussia Dortmund,1246
K. Adeyemi,Midfielder,Borussia Dortmund,996
C. Chukwuemeka,Midfielder,Borussia Dortmund,721
J. Bellingham,Midfielder,Borussia Dortmund,1056
F. Nmecha,Midfielder,Borussia Dortmund,1814
R. Reitz,Midfielder,Borussia Mgladbach,2031
K. Stöger,Midfielder,Borussia Mgladbach,753
F. Neuhaus,Midfielder,Borussia Mgladbach,944
Y. Engelhardt,Midfielder,Borussia Mgladbach,1715
T. Adams,Midfielder,Bournemouth,1299
J. Kluivert,Midfielder,Bournemouth,1020
L. Cook,Midfielder,Bournemouth,1000
E. Kroupi,Midfielder,Bournemouth,986
A. Scott,Midfielder,Bournemouth,2046
M. Tavernier,Midfielder,Bournemouth,1928
V. Janelt,Midfielder,Brentford,1390
M. Damsgaard,Midfielder,Brentford,1437
M. Jensen,Midfielder,Brentford,1339
Y. Yarmoliuk,Midfielder,Brentford,2055
J. Henderson,Midfielder,Brentford,1667
J. Chotard,Midfielder,Brest,1882
K. Doumbia,Midfielder,Brest,1281
H. Magnetti,Midfielder,Brest,1800
D. Gómez,Midfielder,Brighton,1636
G. Rutter,Midfielder,Brighton,1625
J. Hinshelwood,Midfielder,Brighton,856
C. Baleba,Midfielder,Brighton,1276
Y. Ayari,Midfielder,Brighton,1883
Florentino,Midfielder,Burnley,1721
J. Cullen,Midfielder,Burnley,1667
H. Mejbri,Midfielder,Burnley,735
M. Edwards,Midfielder,Burnley,856
L. Ugochukwu,Midfielder,Burnley,1861
M. Adopo,Midfielder,Cagliari,2063
M. Folorunsho,Midfielder,Cagliari,1394
G. Gaetano,Midfielder,Cagliari,1199
A. Deiola,Midfielder,Cagliari,1035
L. Mazzitelli,Midfielder,Cagliari,704
Rafael Brito,Midfielder,Casa Pia AC,836
S. Pérez,Midfielder,Casa Pia AC,1179
Renato Nhaga,Midfielder,Casa Pia AC,1277
Hugo Sotelo,Midfielder,Celta de Vigo,993
Miguel Román,Midfielder,Celta de Vigo,1046
Ilaix Moriba,Midfielder,Celta de Vigo,1740
M. Caicedo,Midfielder,Chelsea,2009
Andrey Santos,Midfielder,Chelsea,918
E. Fernández,Midfielder,Chelsea,2407
C. Palmer,Midfielder,Chelsea,1109
L. da Cunha,Midfielder,Como,1697
M. Caqueret,Midfielder,Como,911
M. Perrone,Midfielder,Como,1825
Nico Paz,Midfielder,Como,2106
A. Grassi,Midfielder,Cremonese,1103
M. Payero,Midfielder,Cremonese,1174
M. Thorsby,Midfielder,Cremonese,891
W. Bondo,Midfielder,Cremonese,1480
J. Vandeputte,Midfielder,Cremonese,1455
A. Wharton,Midfielder,Crystal Palace,2057
Yéremy Pino,Midfielder,Crystal Palace,1749
J. Lerma,Midfielder,Crystal Palace,1334
D. Kamada,Midfielder,Crystal Palace,1333
W. Hughes,Midfielder,Crystal Palace,1312
Pablo Ibáñez,Midfielder,Deportivo Alavés,1557
Denis Suárez,Midfielder,Deportivo Alavés,1065
Antonio Blanco,Midfielder,Deportivo Alavés,2039
F. Chaïbi,Midfielder,Eintracht Frankfurt,1290
C. Uzun,Midfielder,Eintracht Frankfurt,873
E. Skhiri,Midfielder,Eintracht Frankfurt,1021
M. Götze,Midfielder,Eintracht Frankfurt,704
H. Larsson,Midfielder,Eintracht Frankfurt,970
Aleix Febas,Midfielder,Elche,2250
Marc Aguado,Midfielder,Elche,1690
Martim Neto,Midfielder,Elche,1161
Pol Lozano,Midfielder,Espanyol,1585
Edu Expósito,Midfielder,Espanyol,1627
Urko González,Midfielder,Espanyol,1593
João Carvalho,Midfielder,Estoril,2043
J. Holsgrove,Midfielder,Estoril,1976
Jandro Orellana,Midfielder,Estoril,806
Jorge Meireles,Midfielder,Estrela Amadora,759
O. Ngom,Midfielder,Estrela Amadora,927
Paulo Moreira,Midfielder,Estrela Amadora,1780
Jovane Cabral,Midfielder,Estrela Amadora,1007
C. Alcaraz,Midfielder,Everton,763
K. Dewsbury-Hall,Midfielder,Everton,1685
I. Gueye,Midfielder,Everton,1521
J. Garner,Midfielder,Everton,2565
T. Iroegbunam,Midfielder,Everton,1058
N. Naujoks,Midfielder,Excelsior,1466
I. Yegoian,Midfielder,Excelsior,1913
A. Carlén,Midfielder,Excelsior,1263
Gustavo Sá,Midfielder,Famalicão,2004
T. van de Looi,Midfielder,Famalicão,1951
M. De Amorim,Midfielder,Famalicão,1602
Q. Timber,Midfielder,Feyenoord,1454
L. Valente,Midfielder,Feyenoord,1721
S. Steijn,Midfielder,Feyenoord,1132
O. Targhalline,Midfielder,Feyenoord,1252
Hwang In-Beom,Midfielder,Feyenoord,789
R. Mandragora,Midfielder,Fiorentina,1919
G. Fabbian,Midfielder,Fiorentina,886
N. Fagioli,Midfielder,Fiorentina,1783
A. Gudmundsson,Midfielder,Fiorentina,1652
C. Ndour,Midfielder,Fiorentina,1026
E. Michut,Midfielder,Fortuna Sittard,1227
P. Brittijn,Midfielder,Fortuna Sittard,1818
L. Duijvestijn,Midfielder,Fortuna Sittard,1092
J. Lonwijk,Midfielder,Fortuna Sittard,959
R. Fosso,Midfielder,Fortuna Sittard,1649
M. Eggestein,Midfielder,Freiburg,2203
Y. Suzuki,Midfielder,Freiburg,1159
J. Manzambi,Midfielder,Freiburg,1491
P. Osterhage,Midfielder,Freiburg,1118
J. King,Midfielder,Fulham,1023
S. Berge,Midfielder,Fulham,2395
E. Smith Rowe,Midfielder,Fulham,1397
S. Lukić,Midfielder,Fulham,1335
M. Ellertsson,Midfielder,Genoa,1827
P. Masini,Midfielder,Genoa,1231
M. Frendrup,Midfielder,Genoa,2097
R. Malinovskyi,Midfielder,Genoa,1655
Mario Martín,Midfielder,Getafe,1556
Luis Milla,Midfielder,Getafe,2231
M. Arambarri,Midfielder,Getafe,2353
F. Cáseres,Midfielder,Gil Vicente,1633
Luís Esteves,Midfielder,Gil Vicente,1786
Zé Carlos,Midfielder,Gil Vicente,763
Santi García,Midfielder,Gil Vicente,1743
Fran Beltrán,Midfielder,Girona,805
T. Lemar,Midfielder,Girona,771
Iván Martín,Midfielder,Girona,1828
A. Ounahi,Midfielder,Girona,828
A. Witsel,Midfielder,Girona,1401
J. Breum,Midfielder,Go Ahead Eagles,1211
E. Linthorst,Midfielder,Go Ahead Eagles,1423
K. Goudmijn,Midfielder,Go Ahead Eagles,783
Y. Salah Rahmouni,Midfielder,Go Ahead Eagles,854
Y. Taha,Midfielder,Groningen,1895
S. Resink,Midfielder,Groningen,2022
T. de Jonge,Midfielder,Groningen,1500
N. Remberg,Midfielder,Hamburger SV,2017
Fábio Vieira,Midfielder,Hamburger SV,1249
A. Sambi Lokonga,Midfielder,Hamburger SV,1157
M. Linday,Midfielder,Heerenveen,1597
L. Brouwers,Midfielder,Heerenveen,1806
J. van Overeem,Midfielder,Heerenveen,2285
R. Meerveld,Midfielder,Heerenveen,1620
N. Dorsch,Midfielder,Heidenheim,1548
J. Schöppner,Midfielder,Heidenheim,1541
J. Niehues,Midfielder,Heidenheim,1060
A. Beck,Midfielder,Heidenheim,833
A. Bernede,Midfielder,Hellas Verona,1938
M. Al-Musrati,Midfielder,Hellas Verona,736
S. Serdar,Midfielder,Hellas Verona,1199
C. Niasse,Midfielder,Hellas Verona,947
R. Gagliardini,Midfielder,Hellas Verona,1363
A. Hrustić,Midfielder,Heracles,1847
T. Bruns,Midfielder,Heracles,886
J. Žambůrek,Midfielder,Heracles,1320
G. Prömel,Midfielder,Hoffenheim,1303
L. Avdullahu,Midfielder,Hoffenheim,2115
A. Kramarić,Midfielder,Hoffenheim,1450
W. Burger,Midfielder,Hoffenheim,1702
P. Zieliński,Midfielder,Internazionale,1208
P. Sučić,Midfielder,Internazionale,1176
H. Hamlet Mkhitaryan,Midfielder,Internazionale,1097
H. Çalhanoğlu,Midfielder,Internazionale,1329
N. Barella,Midfielder,Internazionale,1715
M. Locatelli,Midfielder,Juventus,2046
Francisco Conceicão,Midfielder,Juventus,1181
K. Thuram,Midfielder,Juventus,1839
D. Huseinbašić,Midfielder,Köln,747
I. Jóhannesson,Midfielder,Köln,1308
J. Kamiński,Midfielder,Köln,2198
T. Krauß,Midfielder,Köln,1328
D. Cataldi,Midfielder,Lazio,1741
M. Guendouzi,Midfielder,Lazio,1548
T. Bašić,Midfielder,Lazio,1237
A. Touré,Midfielder,Le Havre,811
R. Ndiaye,Midfielder,Le Havre,1663
S. Ebonog,Midfielder,Le Havre,1073
Y. Kechta,Midfielder,Le Havre,1098
A. Seko,Midfielder,Le Havre,1915
M. Berisha,Midfielder,Lecce,913
M. Kaba,Midfielder,Lecce,721
Y. Ramadani,Midfielder,Lecce,2123
L. Coulibaly,Midfielder,Lecce,1762
S. Longstaff,Midfielder,Leeds United,1055
A. Stach,Midfielder,Leeds United,1848
I. Gruev,Midfielder,Leeds United,1143
A. Tanaka,Midfielder,Leeds United,865
